tier	match	us	file	line	zone	context
S	modelled	modeled / modeling	.planning/retirement-optimizer/findings.md	1429	doc	e standard deduction is inflation-indexed while the cap was modelled as frozen. The
S	labelled	labeled / labeling	.planning/retirement-optimizer/findings.md	2839	doc	labelled by the reporter is the FIRST SURVIVOR year, not t
S	labelled	labeled / labeling	.planning/retirement-optimizer/findings.md	2938	doc	reproduced in the browser before the fix:** clicking a row labelled
V	afterwards	afterward	.planning/retirement-optimizer/findings.md	3078	doc	changes every task launched afterwards. It was not edited during the run; the `--from` m
V	backwards	backward	.planning/retirement-optimizer/findings.md	439	doc	backwards. U+25C9 (fisheye) and U+25D5 (three-quarter) matc
V	backwards	backward	.planning/retirement-optimizer/findings.md	1394	doc	figure. Wrong, and backwards: property tax alone must clear the whole standard
V	backwards	backward	.planning/retirement-optimizer/findings.md	1718	doc	direction and worth stating because it reads backwards. GBM's arithmetic mean return is
I	ticked	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/findings.md	181	doc	ticked. A phase can be finished by another phase. ("P87b
I	tick	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/findings.md	2819	doc	logarithmic scale subclassed with a tick generator at powers of two: pixel geometry is inh
I	knock-on	ripple / downstream (effect)	.planning/retirement-optimizer/findings.md	2858	doc	inheritance year is a knock-on, not a second effect: a larger distribution leave
V	tidied up	clean up - UK-leaning	.planning/retirement-optimizer/findings.md	195	doc	ed .test_harnesses/` misses exactly the harnesses that were tidied up. The
V	tidy	clean up - UK-leaning	.planning/retirement-optimizer/findings.md	462	doc	not an inconsistency to tidy away. A `*.tests.js` glob is safe only because `_
V	$1M	$xM / $xB	.planning/retirement-optimizer/findings.md	59	doc	rned months 8 and 9); the peak is `B*g^2/4` a year, $900 on $1M at 6% and $6,125 on $5M
V	$5M	$xM / $xB	.planning/retirement-optimizer/findings.md	59	doc	e peak is `B*g^2/4` a year, $900 on $1M at 6% and $6,125 on $5M
V	$3.7M	$xM / $xB	.planning/retirement-optimizer/findings.md	246	doc	nudge reaches differ by 4.5x in lifetime conversions and $3.7M in ending Roth, at 1.3-4.6% of net
V	$1.3M	$xM / $xB	.planning/retirement-optimizer/findings.md	287	doc	**3. Wealth boundary mapped**: below ~$1.3M endgame totals the 0% LTCG bracket swallows the
V	$2M	$xM / $xB	.planning/retirement-optimizer/findings.md	290	doc	only above ~$2M**, where realized LTCG is actually taxed.
V	$2.1M	$xM / $xB	.planning/retirement-optimizer/findings.md	342	doc	IRMAA Tier 4) lose up to −$2.1M because the reclaimed draw-and-convert was the ar
V	$1.9M	$xM / $xB	.planning/retirement-optimizer/findings.md	360	doc	twin (spend equal within $1) in 26/45 cells with deltas to +$1.9M. A
V	$4.1M	$xM / $xB	.planning/retirement-optimizer/findings.md	386	doc	successful cyclic rows, 28,390 harvest years drew $4.1M of IRA total while the same arms' IRA-year
V	$3.3M	$xM / $xB	.planning/retirement-optimizer/findings.md	631	doc	idates looked obviously safe and lost the right answer on a $3.3M scenario (reported 25% against a true 5%). A plan
V	$2M	$xM / $xB	.planning/retirement-optimizer/findings.md	672	doc	(PF10), now tracked as PF11.** No longer hypothetical. On a $2M-IRA/$90k-spend scenario the top-5 were all cyclic
V	$2M	$xM / $xB	.planning/retirement-optimizer/findings.md	705	doc	lter(success).sort(finalNW desc).slice(0,5)`. Measured on a $2M-IRA/$90k-spend scenario, all five slots went to c
V	$23.161M	$xM / $xB	.planning/retirement-optimizer/findings.md	742	doc	| no conversions | $23.161M | $4.789M | -- | $0 | $9.42M |
V	$4.789M	$xM / $xB	.planning/retirement-optimizer/findings.md	742	doc	| no conversions | $23.161M | $4.789M | -- | $0 | $9.42M |
V	$9.42M	$xM / $xB	.planning/retirement-optimizer/findings.md	742	doc	| no conversions | $23.161M | $4.789M | -- | $0 | $9.42M |
V	$23.855M	$xM / $xB	.planning/retirement-optimizer/findings.md	743	doc	| **2031 (the true optimum)** | **$23.855M** | $3.751M | **2046** | $585k | $6.59M |
V	$3.751M	$xM / $xB	.planning/retirement-optimizer/findings.md	743	doc	| **2031 (the true optimum)** | **$23.855M** | $3.751M | **2046** | $585k | $6.59M |
V	$6.59M	$xM / $xB	.planning/retirement-optimizer/findings.md	743	doc	ue optimum)** | **$23.855M** | $3.751M | **2046** | $585k | $6.59M |
V	$23.193M	$xM / $xB	.planning/retirement-optimizer/findings.md	744	doc	| 2043 (the ⓘ boundary year) | $23.193M | $3.367M | 2051 | $1,414k | $3.26M |
V	$3.367M	$xM / $xB	.planning/retirement-optimizer/findings.md	744	doc	| 2043 (the ⓘ boundary year) | $23.193M | $3.367M | 2051 | $1,414k | $3.26M |
V	$3.26M	$xM / $xB	.planning/retirement-optimizer/findings.md	744	doc	he ⓘ boundary year) | $23.193M | $3.367M | 2051 | $1,414k | $3.26M |
V	$22.809M	$xM / $xB	.planning/retirement-optimizer/findings.md	745	doc	| 2051 (as configured) | $22.809M | $3.601M | -- | $1,859k | $1.99M |
V	$3.601M	$xM / $xB	.planning/retirement-optimizer/findings.md	745	doc	| 2051 (as configured) | $22.809M | $3.601M | -- | $1,859k | $1.99M |
V	$1.99M	$xM / $xB	.planning/retirement-optimizer/findings.md	745	doc	2051 (as configured) | $22.809M | $3.601M | -- | $1,859k | $1.99M |
V	$22.809M	$xM / $xB	.planning/retirement-optimizer/findings.md	771	doc	| A. plan as configured | $22.809M | $33k | none |
V	$23.855M	$xM / $xB	.planning/retirement-optimizer/findings.md	772	doc	| B. best stop year, configured amount | $23.855M | $33k | 2031 |
V	$23.192M	$xM / $xB	.planning/retirement-optimizer/findings.md	773	doc	amount, no stop (**what the ⇌ optimizer searches today**) | $23.192M | $50k | none |
V	$24.228M	$xM / $xB	.planning/retirement-optimizer/findings.md	774	doc	| C. best amount AND stop year jointly | **$24.228M** | $200k | 2031 |
V	$1.045M	$xM / $xB	.planning/retirement-optimizer/findings.md	776	doc	Stop-year alone (B-A, +$1.045M) is worth slightly MORE than amount alone (D-A, +
V	$1.036M	$xM / $xB	.planning/retirement-optimizer/findings.md	778	doc	optimizer, is **+$1.036M** here and was positive in all 11 scenarios teste
V	$1.887M	$xM / $xB	.planning/retirement-optimizer/findings.md	779	doc	+$1.887M, median ~$1.0M). Converting $200k/yr for six year
V	$1.0M	$xM / $xB	.planning/retirement-optimizer/findings.md	779	doc	+$1.887M, median ~$1.0M). Converting $200k/yr for six years then stopping
V	$1.07M	$xM / $xB	.planning/retirement-optimizer/findings.md	780	doc	amount-only plan, and beats converting nothing by $1.07M.
V	$23.465M	$xM / $xB	.planning/retirement-optimizer/findings.md	785	doc	ConversionAmount`. Best result over the same amount grid: **$23.465M**, versus $24.228M
V	$24.228M	$xM / $xB	.planning/retirement-optimizer/findings.md	785	doc	Best result over the same amount grid: **$23.465M**, versus $24.228M
V	$0.8M	$xM / $xB	.planning/retirement-optimizer/findings.md	796	doc	across growth 3-12%, `die1` 80-100, spend $120k-$400k, IRA $0.8M-$8M, states
V	$8M	$xM / $xB	.planning/retirement-optimizer/findings.md	796	doc	s growth 3-12%, `die1` 80-100, spend $120k-$400k, IRA $0.8M-$8M, states
V	$2.97M	$xM / $xB	.planning/retirement-optimizer/findings.md	800	doc	Never negative. Range $0 to $2.97M.
V	$0.8M	$xM / $xB	.planning/retirement-optimizer/findings.md	802	doc	$300k, IRA1 $0.8M and $1.5M. Low growth, short horizon, or a small
V	$1.5M	$xM / $xB	.planning/retirement-optimizer/findings.md	802	doc	$300k, IRA1 $0.8M and $1.5M. Low growth, short horizon, or a small IRA means
V	$1.32M	$xM / $xB	.planning/retirement-optimizer/findings.md	805	doc	$37k at 6%, $693k at 8.5%, $1.32M at 10%, $2.97M at 12%. And $0 at die 80, $218k at
V	$2.97M	$xM / $xB	.planning/retirement-optimizer/findings.md	805	doc	$37k at 6%, $693k at 8.5%, $1.32M at 10%, $2.97M at 12%. And $0 at die 80, $218k at die 88,
V	$2.11M	$xM / $xB	.planning/retirement-optimizer/findings.md	806	doc	$2.11M at die 95, $5.86M at die 100.
V	$5.86M	$xM / $xB	.planning/retirement-optimizer/findings.md	806	doc	$2.11M at die 95, $5.86M at die 100.
V	$2.97M	$xM / $xB	.planning/retirement-optimizer/findings.md	809	doc	stopping early still gained $99k to $2.97M. The actionable quantity exists independently of
V	$2.0M	$xM / $xB	.planning/retirement-optimizer/findings.md	861	doc	$80k, g8% | t* 6%, gain@0% −$144k | **t* 84%**, gain@0% **−$2.0M** | 29.6% |
V	$6.34M	$xM / $xB	.planning/retirement-optimizer/findings.md	1170	doc	apital gains go to zero and the Brokerage balance survives ($6.34M -> $11.79M on Fill
V	$11.79M	$xM / $xB	.planning/retirement-optimizer/findings.md	1170	doc	ns go to zero and the Brokerage balance survives ($6.34M -> $11.79M on Fill
V	$1.06M	$xM / $xB	.planning/retirement-optimizer/findings.md	1198	doc	> $1k) go 13/20 at 4%, 19/20 at 6%, 19/20 at 8%; best cell $1.06M ->
V	$3.56M	$xM / $xB	.planning/retirement-optimizer/findings.md	1199	doc	$3.56M -> $2.48M. At 4% Social Security ($69k combined)
V	$2.48M	$xM / $xB	.planning/retirement-optimizer/findings.md	1199	doc	$3.56M -> $2.48M. At 4% Social Security ($69k combined) covers mos
V	$3.4M	$xM / $xB	.planning/retirement-optimizer/findings.md	1353	doc	(~$3.4M, $160k spend) and a large one (~$9.4M, $300k spen
V	$9.4M	$xM / $xB	.planning/retirement-optimizer/findings.md	1353	doc	(~$3.4M, $160k spend) and a large one (~$9.4M, $300k spend, $120k pension) x bracket-fill targe
V	$32M	$xM / $xB	.planning/retirement-optimizer/findings.md	1371	doc	- **Final net worth moves 0.02% to 0.06%** on a $32M terminal balance.
V	$1.3M	$xM / $xB	.planning/retirement-optimizer/findings.md	1613	doc	that as a $1.3M win. It funds nineteen fewer years of the plan.
V	$1M	$xM / $xB	.planning/retirement-optimizer/findings.md	1990	doc	future start year** - typed $1M gives a year-0 IRA of $1,050,154 starting 2026 an
V	$1.26M	$xM / $xB	.planning/retirement-optimizer/findings.md	1991	doc	starting 2030, where four years at 6% would be ~$1.26M. Balances are treated as AT RETIREMENT, not
V	$1.078M	$xM / $xB	.planning/retirement-optimizer/findings.md	2192	doc	(4.47% -> 1.13% at b20, 1.83% -> 0.90% at b80). The `+$1.078M` headline that opened `P103` is gone:
V	$1.43M	$xM / $xB	.planning/retirement-optimizer/findings.md	3017	doc	the final 8 years, and the plan still funds every year with $1.43M left. The rbg re-run shows the same
V	sat	"was sat" (UK) -> sitting / sits (vet)	.planning/retirement-optimizer/findings.md	173	doc	why none of them ever announced itself, and why the ACA one sat behind
S	neighbouring	neighbor	.planning/retirement-optimizer/findings_archive.md	710	doc	**Two neighbouring rules the same review surfaced, both load-bearing
S	modelled	modeled / modeling	.planning/retirement-optimizer/findings_archive.md	613	doc	been modelled.
S	modelled	modeled / modeling	.planning/retirement-optimizer/findings_archive.md	627	doc	**Measured across all 38 modelled jurisdictions, before vs after, three strategies:
S	greying	gray	.planning/retirement-optimizer/findings_archive.md	876	doc	hase 1) | Finds max feasible spend for each bracket option; greying infeasible options guides user choice |
V	backwards	backward	.planning/retirement-optimizer/findings_archive.md	388	doc	backwards. The old behavior looked $1.2M richer *because* i
V	backwards	backward	.planning/retirement-optimizer/findings_archive.md	1355	doc	**CORRECTED same day - the sign was read backwards the first time.** This paragraph originally said
I	one-off	one-time	.planning/retirement-optimizer/findings_archive.md	1521	doc	Carry this one because it is a shape, not a one-off: **`startInYear` was computed in two places and
I	top-up	add to / replenish / refill	.planning/retirement-optimizer/findings_archive.md	2056	doc	*pass 3* = `resolveResidualAndForcedIRA`, the tax-residual top-up. *phantom
V	$1.08M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	61	doc	per-year oracle found up to +$241k (conv-only) and up to **+$1.08M** on a non-cyclic
V	$1M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	115	doc	dividend-bearing plan must finish BEHIND. Brokerage-only $1M, basis = value so capital gains cannot
V	$1M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	167	doc	$1M/$500k basis is 50% before a $400k draw and 50% af
V	$2.16M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	253	doc	$2.16M** - the 4th iteration was one short. Cap raised 4
V	$2.1M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	343	doc	draws proportionally from IRA/Brokerage/Cash to meet spend. $2.1M of IRA against a $160k goal funds it. Shortfall -
V	$1.2M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	388	doc	backwards. The old behavior looked $1.2M richer *because* it refused to fund the spend goa
V	$1.3M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	749	doc	s fix holds.** 10 of the 12 selected candidates carry $700k-$1.3M of terminal IRA (gk, fixedpct, ordered, bracket,
V	$1.29M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	751	doc	/heirs rate, and it was invisible.** On a candidate holding $1.29M of terminal IRA: rate 24% → $0; 32% → $0; **40% →
V	$3.3M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	757	doc	es on candidates the flat sweep left empty: **10 of 12 on a $3.3M-IRA scenario, 5 at a 45% future rate, 5 at 9% gro
V	$3.26M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	1002	doc	ear: 18`) | **$23,192,547** | **$3,367,165** | $1,414,421 | $3.26M | **2051** |
V	$9.42M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	1003	doc	| no conversions at all | $23,161,241 | $4,788,561 | $0 | $9.42M | — |
V	$4.60M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	1004	doc	racket-fill only) | $22,884,593 | $3,482,440 | $1,372,988 | $4.60M | — |
V	$1.99M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	1005	doc	ed (all 26 years) | $22,809,307 | $3,601,204 | $1,858,960 | $1.99M | — |
V	$0.6M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	1100	doc	brokerage-heavy scenario holds only $0.6M of Roth. Two candidate shortcuts were scored and
V	$1.62M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	1104	doc	he shipped defaults are a *stressed* plan ($140k spend on a $1.62M portfolio),
V	$1.80M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	1158	doc	ON holds $1.80M more Roth and $2.61M less Brokerage, on identical
V	$2.61M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	1158	doc	ON holds $1.80M more Roth and $2.61M less Brokerage, on identical delivered spend and
V	$1.0M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	1159	doc	bought the Roth balance by liquidating Brokerage and paying $1.0M more of realized gains.
V	$1.41M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	1498	doc	worse than "too low": IRMAA FELL as the conversion grew**, $1.41M to
V	$0.63M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	1499	doc	$0.63M. The shrinking IRA lowered later RMDs while the c
V	$3.59M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	1853	doc	legitimate fallback - but it leaves $3.59M on the table across the grid for no gain anywhere
V	$16.8M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	1864	doc	$16.8M is measured on the largest set of the three.
V	$1M	$xM / $xB	.planning/retirement-optimizer/findings_archive.md	1905	doc	eight cents on a $1M one - where stopping on the interval holds the sa
S	minimise	minimize	.planning/retirement-optimizer/findings_archive.md	1038	doc	said "PAST DUE — pay immediately to minimise underpayment penalty", so the tool contradicted i
S	Colour	color	.planning/retirement-optimizer/progress.md	168	doc	ld. Naming unified. `Conv Tax` with Break Even ahead of it. Colour legend lines dropped for
S	colour	color	.planning/retirement-optimizer/progress.md	169	doc	every colour whose rows carry a symbol. Compare hint folded. O
S	colour	color	.planning/retirement-optimizer/progress.md	173	doc	the row colour and the hide-rows filter), and the summary bar's
S	colour	color	.planning/retirement-optimizer/progress.md	179	doc	Three things blue. User chose to strip ✦ of its colour rather than invent a fourth.
S	colour	color	.planning/retirement-optimizer/progress.md	243	doc	negative on End Wealth is red. Final IRA and All RMDs colour NOTHING: a bigger Final IRA is worse
S	colour	color	.planning/retirement-optimizer/progress.md	290	doc	- **US spelling** ([[feedback_us_spelling]]). "colour" had reached a `<summary>` a reader sees. It
S	behaviour	behavior	.planning/retirement-optimizer/progress.md	4860	doc	2 / 61 / 22**, browser badge green at 1048. No user-visible behaviour changed,
S	neighbours	neighbor	.planning/retirement-optimizer/progress.md	200	doc	assert the neighbours, do not trust `rfind` on a brace.
S	neighbour	neighbor	.planning/retirement-optimizer/progress.md	1409	doc	ar 18 the Rank 95% survivor sits 143px clear of its nearest neighbour
S	neighbouring	neighbor	.planning/retirement-optimizer/progress.md	2329	doc	nded cost, and the fix is the move P92a already made in the neighbouring
S	catalogues	catalog	.planning/retirement-optimizer/progress.md	4125	doc	own claim. Same species as the scorer defects `findings.md` catalogues. Re-scored: AUTO holds more
S	cancelled	canceled / canceling	.planning/retirement-optimizer/progress.md	559	doc	per selected scenario. Then a cancelled job resolving to `null`, which is the contract th
S	modelling	modeled / modeling	.planning/retirement-optimizer/progress.md	2016	doc	orted the no-growth-before-retirement finding as a possible modelling gap. The user reframed it
S	modelled	modeled / modeling	.planning/retirement-optimizer/progress.md	4019	doc	it. **And it can be modelled with ZERO engine change**, which is what the user
S	modelled	modeled / modeling	.planning/retirement-optimizer/progress.md	4884	doc	$97k wide - and the DEDUCTION is $50,161 of that, so a fix modelled on `P87c4` would recover
S	labelled	labeled / labeling	.planning/retirement-optimizer/progress.md	150	doc	only on pin, labelled `ΔFinalWealth vs ⚖`; the escape hatch reads "Show
S	labelled	labeled / labeling	.planning/retirement-optimizer/progress.md	2622	doc	rest by net wealth and labelled as such. A single blended number is rejected beca
S	labelled	labeled / labeling	.planning/retirement-optimizer/progress.md	4437	doc	definition of what is recorded, compared and labelled. `summarizeRun` did not exist in any form -
S	greyed	gray	.planning/retirement-optimizer/progress.md	828	doc	Historical shows Default green with the other two greyed; switching to GBM enables them; Fixed
S	greyed	gray	.planning/retirement-optimizer/progress.md	1828	doc	advisory is gated on an ACA selection; the "options are greyed out" message deliberately is not,
S	greyed	gray	.planning/retirement-optimizer/progress.md	2196	doc	shared one. Already past: greyed and silent, per the instruction. Start age is wha
S	greyed	gray	.planning/retirement-optimizer/progress.md	2199	doc	Verified on five profiles: both 65+ today -> greyed, silent; both under 65 with start 70 -> greyed,
S	greyed	gray	.planning/retirement-optimizer/progress.md	2199	doc	65+ today -> greyed, silent; both under 65 with start 70 -> greyed,
S	greyed	gray	.planning/retirement-optimizer/progress.md	2200	doc	note shown; one on Medicare -> not greyed; single 65+ today -> greyed, silent; single under
S	greyed	gray	.planning/retirement-optimizer/progress.md	2200	doc	e shown; one on Medicare -> not greyed; single 65+ today -> greyed, silent; single under 65 with
S	greyed	gray	.planning/retirement-optimizer/progress.md	2201	doc	start 70 -> greyed, note shown. Four in-page assertions. Badge 864,
S	greyed	gray	.planning/retirement-optimizer/progress.md	2210	doc	already-past-65 case now loses that explanation. If greyed-with-no-reason reads badly, the answer is
S	greying	gray	.planning/retirement-optimizer/progress.md	3997	doc	table, so is leaving it an inert floor). **`P107e`'s greying is now a STOPGAP** documenting an
S	greying	gray	.planning/retirement-optimizer/progress.md	4049	doc	**Two earlier items corrected by this.** `P107e`'s greying is honest for `ordered`/`split`/`gk` - no
S	greyed	gray	.planning/retirement-optimizer/progress.md	4228	doc	hecked box should mean outside MC - same shape as `P107e`'s greyed IRA Goal, a live-looking control
S	greyed	gray	.planning/retirement-optimizer/progress.md	5539	doc	le menu is now a nerdknob control (drawn beside the switch, greyed until the switch is on; shown
V	judgement	judgment	.planning/retirement-optimizer/progress.md	241	doc	Three judgement calls worth keeping:
V	afterwards	afterward	.planning/retirement-optimizer/progress.md	825	doc	checked afterwards.
V	afterwards	afterward	.planning/retirement-optimizer/progress.md	1431	doc	that passes. Measured at the same pixel afterwards: **1 line**. Medians needed a `hitRadius` too;
V	afterwards	afterward	.planning/retirement-optimizer/progress.md	1930	doc	Killed the two staged A/B servers afterwards.
V	afterwards	afterward	.planning/retirement-optimizer/progress.md	4780	doc	harness can exclude them by name instead of discovering it afterwards.
V	afterwards	afterward	.planning/retirement-optimizer/progress.md	5423	doc	so `.tog` now keeps its own width. Every tab measured 375 afterwards, Optimizer and Monte Carlo
V	afterwards	afterward	.planning/retirement-optimizer/progress.md	5450	doc	eplace, and every edited file checked for lone CR / lone LF afterwards.
V	forwards	forward	.planning/retirement-optimizer/progress.md	498	doc	the whole difference between the two callers: `onProgress` forwards to the caller's
V	forwards	forward	.planning/retirement-optimizer/progress.md	5372	doc	mails the inbox the help address forwards to; free on every plan; Turnstile cannot run on `
V	backwards	backward	.planning/retirement-optimizer/progress.md	2263	doc	n a billion by recursing to carry; the unit search also ran backwards
V	backwards	backward	.planning/retirement-optimizer/progress.md	4838	doc	**The refit turned the cards' provenance backwards** and that had to be fixed with it: `origin` said
V	backwards	backward	.planning/retirement-optimizer/progress.md	5679	doc	backwards - the reason the P92e attempt at MAGI order was r
I	ticking	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/progress.md	1362	doc	disagreeing with what is being replayed. Browser-verified - ticking the box flipped
I	ticks	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/progress.md	1414	doc	the reader ticks the box.
I	tick	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/progress.md	3460	doc	registered on first use, zeros as gaps on log axes, dollar tick
I	ticked	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/progress.md	4109	doc	measured note dated 2026-09-04. Only the checkbox was open; ticked. **`P28je` is
I	tick	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/progress.md	4486	doc	same tick as the render.
I	untick	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/progress.md	5056	doc	User: "where is the control to untick?" There was none on screen. The page's `.toggle`
I	untick	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/progress.md	5061	doc	text says "switch off" instead of "untick".
I	ticking	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/progress.md	5334	doc	readout. Auto-run off by default; ticking it solves at once if the rails are not current.
I	ticked	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/progress.md	5355	doc	switches the view; previous rails hidden until ticked, then drawn; Use it / Restore / the ⓘ menu;
I	unticked	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/progress.md	5367	doc	automatic capture, plan link unticked with a "hard to reproduce" note, optional reply a
I	ticked	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/progress.md	5368	doc	something that does NOT compromise privacy" - built as the ticked settings-and-errors tier.
I	ticked	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/progress.md	5519	doc	rule needs rails whether or not Auto-run is ticked, re-run of the plan when the solve lands,
I	way round	way around	.planning/retirement-optimizer/progress.md	4864	doc	because doing it the other way round means baselining twice.
I	belt-and-braces	belt and suspenders	.planning/retirement-optimizer/progress.md	2080	doc	belt-and-braces: the self-check suite runs BEFORE `captureDefault
I	to hand	on hand / at hand (vet)	.planning/retirement-optimizer/progress.md	884	doc	e month, but only in the UI layer.** The user does not want to hand-enter
V	tidy	clean up - UK-leaning	.planning/retirement-optimizer/progress.md	705	doc	log to tidy a path.
V	30 August	Month D, YYYY	.planning/retirement-optimizer/progress.md	2296	doc	241.96 days on 30 August - floor 241, one day short. `Math.round` is corre
V	$1M	$xM / $xB	.planning/retirement-optimizer/progress.md	1588	doc	ion 16 with section 9 left under a SUPERSEDED pointer. The >$1M loss that
V	$1M	$xM / $xB	.planning/retirement-optimizer/progress.md	2132	doc	ctual run's is confounded now that the actual arm converts ~$1M. Replaced with the
V	$1M	$xM / $xB	.planning/retirement-optimizer/progress.md	2262	doc	including the carry cases (999,500 -> $1M, 999,999,999 -> $1B) and that it never emits an e
V	$4M	$xM / $xB	.planning/retirement-optimizer/progress.md	2268	doc	ared URL, and their own diagnosis was right. On that plan - $4M across two IRAs,
V	$2.8M	$xM / $xB	.planning/retirement-optimizer/progress.md	2317	doc	$168,500 of headroom never used on one $2.8M fixture at Fill Bracket 22%. That is P87c: the si
V	$16.8M	$xM / $xB	.planning/retirement-optimizer/progress.md	2399	doc	$16.8M unused, `flat85` left 144 and $3.6M, `exact` left
V	$3.6M	$xM / $xB	.planning/retirement-optimizer/progress.md	2399	doc	$16.8M unused, `flat85` left 144 and $3.6M, `exact` left **zero**. `exact` also breached LES
V	$3M	$xM / $xB	.planning/retirement-optimizer/progress.md	2414	doc	$3M IRA and the RMD alone cleared the ceiling. Draft
V	$2.28M	$xM / $xB	.planning/retirement-optimizer/progress.md	2623	doc	savings top out at $2.28M here while net wealth runs ~$10M - a naive blend
V	$10M	$xM / $xB	.planning/retirement-optimizer/progress.md	2623	doc	savings top out at $2.28M here while net wealth runs ~$10M - a naive blend sorts by scale and "rank
V	$3M	$xM / $xB	.planning/retirement-optimizer/progress.md	2794	doc	**2,395 ms -> 732 ms, 0 rows lost**; $3M IRA **3,231 ms -> 682 ms, 2 rows lost**.
V	$1.078M	$xM / $xB	.planning/retirement-optimizer/progress.md	2828	doc	`defaults3x @4%`, the +$1.078M cell, now measures +$122k. Three fixes shipped be
V	$2.04M	$xM / $xB	.planning/retirement-optimizer/progress.md	3105	doc	nearly double in total ($2.04M -> $3.80M) and the split falls ($5.47M -> $4.85M)
